block_size;w_lat_1;w_lat_2;w_lat_3;w_lat_4;w_lat_5;w_lat_6;w_lat_7;w_lat_8;w_lat_9;w_lat_10;w_lat_av;w_lat_med;w_lat_min;w_lat_max;w_lat_var;w_lat_stddev;r_lat_1;r_lat_2;r_lat_3;r_lat_4;r_lat_5;r_lat_6;r_lat_7;r_lat_8;r_lat_9;r_lat_10;r_lat_av;r_lat_med;r_lat_min;r_lat_max;r_lat_var;r_lat_stddev
4000;21.632;21.029;21.847;21.994;21.128;22.786;22.570;22.904;22.205;22.499;22.0594;22.0995;21.029;22.904;.3877;.6226;17.558;17.038;16.853;16.845;16.846;16.909;16.899;16.961;17.081;17.290;17.0280;16.9350;16.845;17.558;.0484;.2200
8000;26.569;26.295;26.577;26.929;26.471;26.041;25.607;26.427;26.362;25.907;26.3185;26.3945;25.607;26.929;.1291;.3593;24.786;24.772;24.934;24.907;24.214;23.552;24.879;24.839;24.827;24.752;24.6462;24.8065;23.552;24.934;.1704;.4127
16000;30.186;30.220;30.284;31.341;31.280;30.994;31.502;30.761;31.271;31.828;30.9667;31.1325;30.186;31.828;.3034;.5508;25.389;25.287;26.144;25.752;25.415;25.711;25.455;25.510;25.413;25.399;25.5475;25.4350;25.287;26.144;.0584;.2416
32000;37.372;39.058;38.869;38.142;37.876;36.909;37.085;37.038;37.199;36.985;37.6533;37.2855;36.909;39.058;.5726;.7567;25.741;25.973;26.785;26.078;26.747;26.333;26.056;25.535;25.480;26.229;26.0957;26.0670;25.480;26.785;.1809;.4253
64000;52.496;52.867;54.303;53.891;54.039;53.236;53.130;54.026;51.048;51.032;53.0068;53.1830;51.032;54.303;1.2650;1.1247;31.807;33.427;33.355;32.790;33.435;34.216;33.114;33.788;33.518;34.137;33.3587;33.4310;31.807;34.216;.4351;.6596
