Nb_executor; nb_cores_per_executor; nb_memory_per_executor;Dimension; Decoupe; Scheduling Time, Execution Time
1; 64; 1g; 150; 60; 3440; 0
1; 64; 1g; 150; 60; 3946; 0
1; 64; 1g; 150; 60; 3525; 0
1; 64; 1g; 150; 60; 3714; 0
1; 64; 1g; 150; 62; 6102; 0
1; 64; 1g; 150; 62; 4541; 0
1; 64; 1g; 150; 62; 4738; 0
1; 64; 1g; 150; 62; 4144; 0
1; 64; 1g; 150; 62; 3970; 0
1; 64; 1g; 150; 64; 6591; 0
1; 64; 1g; 150; 64; 4958; 0
1; 64; 1g; 150; 64; 5540; 0
1; 64; 1g; 150; 64; 5096; 0
1; 64; 1g; 150; 64; 5350; 0
